country,year,gdp,population,primary_energy_consumption,coal_cons_per_capita,gas_energy_per_capita,hydro_elec_per_capita,low_carbon_energy_per_capita,oil_energy_per_capita,renewables_energy_per_capita,renewables_consumption,fossil_fuel_consumption
Algeria,1991,121105151996,26400468,312.043,299.556,7298.835,11.098,30.829,4190.376,30.829,0.814,311.229
Algeria,1992,127982674302,27028330,320.191,347.674,7360.755,7.363,20.452,4117.633,20.452,0.553,319.639
Algeria,1993,130275763728,27635518,297.932,276.91,6460.667,12.773,35.482,4007.704,35.482,0.981,296.951
Algeria,1994,134279870675,28213778,301.891,255.57,6669.398,5.884,16.343,3758.837,16.343,0.461,301.43
Algeria,1995,145054689192,28757788,313.11,250.736,7031.883,6.711,18.642,3586.589,18.642,0.536,312.574
Algeria,1996,156579104008,29266414,309.901,116.036,7097.134,4.613,12.813,3362.973,12.813,0.375,309.526
Algeria,1997,164644454643,29742980,297.846,200.201,6523.898,2.522,7.004,3282.909,7.004,0.208,297.638
Algeria,1998,179962871355,30192750,308.31,211.085,6646.675,7.121,19.78,3333.874,19.78,0.597,307.713
Algeria,1999,193179806925,30623406,311.398,222.928,6697.783,6.629,18.414,3229.504,18.414,0.564,310.834
Algeria,2000,208554150226,31042238,299.936,181.706,6153.329,1.611,4.832,3322.33,4.832,0.15,299.786
Algeria,2001,223420295817,31451514,310.801,207.074,6273.856,2.226,6.054,3394.921,6.054,0.19,310.611
Algeria,2002,245360882457,31855110,321.94,268.342,6116.414,1.884,4.906,3716.745,4.906,0.156,321.784
Algeria,2003,273568648245,32264158,336.876,218.44,6382.682,8.058,22.376,3817.68,22.376,0.722,336.154
Algeria,2004,296773599327,32692152,349.734,257.202,6481.658,7.647,20.784,3938.16,20.784,0.679,349.055
Algeria,2005,326854481209,33149718,366.175,208.395,6743.95,16.591,45.059,4048.707,45.059,1.494,364.682
Algeria,2006,345705351663,33641008,379.183,304.916,6792.237,6.54,17.289,4157.005,17.289,0.582,378.601
Algeria,2007,371665201209,34166976,399.601,257.673,6843.07,6.439,17.57,4577.23,17.57,0.6,399.001
